source,status,date,type,fromcountry,fromname,fromalterns,fromiso,fromfips,fromhasc,fromtype,fromcapitalname,fromcapital,tocountry,toname,toalterns,toiso,tofips,tohasc,totype,tocapitalname,tocapital,transfer_source,transfer_reference,transfer_geom
http://www.statoids.com/ung.html,Pending,1996-10-01,Breakaway,Nigeria,Sokoto,,,NI33,NG.SO,,,,Nigeria,Zamfara,,,NI57,NG.ZA,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Sokoto,,,NI33,NG.SO,,,,Nigeria,Sokoto,,,NI51,NG.SO,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Imo,,,NI28,NG.IM,,,,Nigeria,Abia,,,NI34,NG.AB,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Bendel,,,,,,,,Nigeria,Delta,,,NI36,NI.DE,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Bendel,,,,,,,,Nigeria,Edo,,,NI37,NG.ED,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Anambra,,,,NG.AN,,,,Nigeria,Enugu,,,NI38,NG.EN,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Gongola,,,,,,,,Nigeria,Adamawa,,,NI35,NG.AD,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Gongola,,,,,,,,Nigeria,Taraba,,,NI43,NG.TA,,,,,,
http://www.statoids.com/ung.html,Pending,1987-09-23,Breakaway,Nigeria,Cross River,,,NI09,NG.CR,,,,Nigeria,Akwa Ibom,,,NI21,NG.AK,,,,,,
http://www.statoids.com/ung.html,Pending,1987-09-23,NewInfo,Nigeria,Cross River,,,NI09,NG.CR,,,,Nigeria,Cross River,,,NI22,NG.CR,,,,,,
http://www.statoids.com/uci.html,Pending,2011-09-28,NewInfo,Ivory Coast,*,,,,,Region,,,Ivory Coast,*,,,,,District,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Nord,,,CM06,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Est,,,CM04,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Ouest,,,CM08,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Nord,,,CM06,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,West Cameroon,,,CM02,,,Buea,,Cameroon,Nord-Ouest,,,CM07,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Cameroon,West Cameroon,,,CM02,,,Buea,,Federated Republic of Cameroon,Nord-Ouest,,,CM07,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Cameroon,West Cameroon,,,CM02,,,Buea,,Cameroon,Nord-Ouest,,,CM07,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,West Cameroon,,,CM02,,,Buea,,Cameroon,Sud-Ouest,,,CM09,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Est,,,CM04,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Centre-Sud,,,CM03,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Cameroon,West Cameroon,,,CM02,,,Buea,,Cameroon,Nord-Ouest,,,CM07,,,,,,,
http://www.statoids.com/uno.html,NonActive,1972-01-01,FullTransfer,Norway,Bergen,,13,NO03,,,Bergen,,Norway,Hordaland,,12,NO07,NO.HO,,,,http://mapwarper.net/maps/wms/16008,Norges geografiske oppmåling 1971. Kartverket. http://www.kartverket.no/historiske/kommune/jpg300dpi/kommunekart_s_1971.jpg,
http://www.statoids.com/usl.html,NonActive,1945-01-01,Breakaway,Sierra Leone,Southern,,,,,,,,Sierra Leone,Eastern,,,,,,,,,,
http://www.statoids.com/ung.html,NonActive,1996-10-01,PartTransfer,Nigeria,Abia,,,NI34,NG.AB,,,,Nigeria,Ebonyi,,,NI53,NG.EB,,,,http://mapwarper.net/maps/wms/16036,"Unknown origin, seemingly 1993. Hosted at University of Texas. http://www.lib.utexas.edu/maps/africa/nigeria_pol93.jpg","{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.4901820393281, 4.836878478527], [7.3308802815156, 4.8643442988395], [7.2429896565156, 4.8423716425895], [7.1715785237031, 4.8753306269645], [7.1331263752656, 4.880823791027], [7.1001673908906, 4.9412485957145], [7.1276332112031, 4.9742075800895], [7.1715785237031, 4.979700744152], [7.2594691487031, 5.111536681652], [7.2594691487031, 5.1939341425895], [7.2869349690156, 5.254358947277], [7.2869349690156, 5.287317931652], [7.3144007893281, 5.353235900402], [7.3198939533906, 5.4026743769645], [7.4352503987031, 5.5784556269645], [7.4462367268281, 5.638880431652], [7.4077845783906, 5.693812072277], [7.4187709065156, 5.748743712902], [7.4462367268281, 5.770716369152], [7.4297572346406, 5.9080454707145], [7.3967982502656, 5.9410044550895], [7.3363734455781, 5.9519907832145], [7.3308802815156, 5.9849497675895], [7.3528529377656, 6.0398814082145], [7.4791957112031, 6.045374572277], [7.5341273518281, 6.0398814082145], [7.6879359455781, 5.913538634777], [7.7373744221406, 5.913538634777], [7.7318812580781, 5.968470275402], [7.7044154377656, 6.0179087519645], [7.7318812580781, 6.078333556652], [7.7318812580781, 6.232142150402], [7.7593470783906, 6.276087462902], [7.8856898518281, 6.265101134777], [7.9241420002656, 6.232142150402], [7.9735804768281, 6.1497446894645], [8.0120326252656, 6.100306212902], [8.0175257893281, 6.012415587902], [8.0175257893281, 5.924524962902], [7.9790736408906, 5.8531138300895], [8.0065394612031, 5.7542368769645], [8.0230189533906, 5.704798400402], [7.9735804768281, 5.6553599238395], [7.9351283283906, 5.6114146113395], [7.9351283283906, 5.5015513300895], [7.9406214924531, 5.452112853527], [7.9571009846406, 5.364222228527], [7.9296351643281, 5.364222228527], [7.8856898518281, 5.3587290644645], [7.8472377033906, 5.4026743769645], [7.7868128987031, 5.4905650019645], [7.7428675862031, 5.518030822277], [7.7099086018281, 5.5345103144645], [7.6879359455781, 5.507044494152], [7.6659632893281, 5.452112853527], [7.6220179768281, 5.419153869152], [7.6604701252656, 5.375208556652], [7.6439906330781, 5.331263244152], [7.5835658283906, 5.3477427363395], [7.5561000080781, 5.320276916027], [7.5451136799531, 5.287317931652], [7.5670863362031, 5.2159067988395], [7.5615931721406, 5.166468322277], [7.5451136799531, 5.100550353527], [7.5561000080781, 5.0291392207145], [7.5176478596406, 5.001673400402], [7.5396205158906, 4.946741759777], [7.4956752033906, 4.9192759394645], [7.4956752033906, 4.8753306269645], [7.4901820393281, 4.836878478527]]]]}"
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Enugu,,,NI38,NG.EN,,,,Nigeria,Enugu,,,NI47,NG.EN,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Abia,,,NI34,NG.AB,,,,Nigeria,Abia,,,NI45,NG.AB,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Kano,,,,NG.KN,,,,Nigeria,Jigawa,,,NI39,NG.JI,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Oyo,,,,NG.OY,,,,Nigeria,Osun,,,NI42,NG.OS,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,NewInfo,Nigeria,Oyo,,,,NG.OY,,,,Nigeria,Oyo,,,NI32,NG.OY,,,,,,
http://www.statoids.com/ung.html,NonActive,1991-08-27,Breakaway,Nigeria,Sokoto,,,NI33,NG.SO,,,,Nigeria,Kebbi,,,NI40,NG.KE,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Sokoto,,,,NG.SO,,,,Nigeria,Kebbi,,,NI40,NG.KE,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,NewInfo,Nigeria,Sokoto,,,,NG.SO,,,,Nigeria,Sokoto,,,NI33,NG.SO,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,NewInfo,Nigeria,Kano,,,,NG.KN,,,,Nigeria,Kano,,,NI29,NG.KN,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,Breakaway,Nigeria,Borno,,,,NG.BO,,,,Nigeria,Yobe,,,NI44,NG.YO,,,,,,
http://www.statoids.com/ung.html,Pending,1991-08-27,NewInfo,Nigeria,Borno,,,,NG.BO,,,,Nigeria,Borno,,,NI27,NG.BO,,,,,,
http://www.statoids.com/uci.html,Pending,2000-07-12,Breakaway,Ivory Coast,Worodougou,,,,,,,,Ivory Coast,Bafing,,,,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Centre-Sud,,,CM03,,,,,,,
http://www.statoids.com/ucm.html | https://en.wikipedia.org/wiki/French_Cameroons#/media/File:Cameroon_boundary_changes.PNG,NonActive,1961-10-01,FullTransfer,Southern Cameroons,Bamenda,,,,,,Bamenda,,Cameroon,West Cameroon,,,,,,,,,,
http://www.statoids.com/uci.html,Pending,2000-04-20,Breakaway,Ivory Coast,Dix-Huit Montagnes,,,,,,,,Ivory Coast,Moyen-Cavally,,,,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Littoral,,,CM05,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Littoral,,,CM05,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Cameroon,West Cameroon,,,CM02,,,Buea,,Cameroon,Sud-Ouest,,,CM09,,,,,,,
http://www.statoids.com/ucm.html | https://en.wikipedia.org/wiki/French_Cameroons#/media/File:Cameroon_boundary_changes.PNG,NonActive,1961-10-01,FullTransfer,Southern Cameroons,Southern,,,,,,Buea,,Federated Republic of Cameroon,West Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Insert later,Insert later,
http://www.statoids.com/ucm.html | https://en.wikipedia.org/wiki/French_Cameroons#/media/File:Cameroon_boundary_changes.PNG,NonActive,1961-10-01,FullTransfer,Southern Cameroons,Bamenda,,,,,,Bamenda,,Federated Republic of Cameroon,West Cameroon,,,,,,,,,,
"Date from statoids, http://www.statoids.com/uci.html | Extent from http://www.ins.ci/ENV/ENV2002.pdf, page 5, ""MINISTERE DU PLAN ET DU DEVELOPPEME, NT INSTITUT NATIONAL DE LA STATISTIQUE, PROFIL DE PAUVRETE EN COTE D'IVOIRE EN 2002 Juillet 2003 Résultats provisoires OUATTARA Idrissa"",",Pending,1997-01-15,NewInfo,Ivory Coast,Ouest,,08,,,Region,,,Ivory Coast,Montagnes,,,,,Region,,,,,
http://www.statoids.com/ung.html,NonActive,1991-08-27,PartTransfer,Nigeria,Benue,,,,NG.BE,,,,Nigeria,Kogi,,,NI41,NG.KO,,,,http://mapwarper.net/maps/wms/16036,"Unknown origin, seemingly 1993. Hosted at University of Texas. http://www.lib.utexas.edu/maps/africa/nigeria_pol93.jpg","{""type"": ""MultiPolygon"", ""coordinates"": [[[[9.5067471591755, 6.4305927705686], [9.5287198154255, 6.4525654268186], [9.578158291988, 6.4580585908811], [9.600130948238, 6.5294697236936], [9.677035245113, 6.5349628877561], [9.666048916988, 6.6173603486936], [9.688021573238, 6.6832783174436], [9.6825284091755, 6.8480732393186], [9.7264737216755, 6.9524433565061], [9.742953213863, 7.0073749971311], [9.786898526363, 7.0732929658811], [9.830843838863, 7.1282246065061], [9.830843838863, 7.2710468721311], [9.9022549716755, 7.4633076143186], [9.9022549716755, 7.5347187471311], [9.808871182613, 7.6885273408811], [9.666048916988, 7.8368427705686], [9.5946377841755, 7.8698017549436], [9.5067471591755, 7.8698017549436], [9.3968838779255, 7.8258564424436], [9.2980069248005, 7.8148701143186], [9.226595791988, 7.7654316377561], [9.160677823238, 7.7489521455686], [9.149691495113, 7.7654316377561], [9.193636807613, 7.8258564424436], [9.215609463863, 7.8533222627561], [9.215609463863, 7.9247333955686], [9.1661709873005, 7.9357197236936], [9.1112393466755, 8.0565693330686], [9.017855557613, 8.0345966768186], [8.8695401279255, 8.0345966768186], [8.831087979488, 8.0565693330686], [8.7047452060505, 8.0565693330686], [8.5948819248005, 8.1334736299436], [8.5179776279255, 8.1334736299436], [8.4520596591755, 8.0620624971311], [8.424593838863, 8.0181171846311], [8.4191006748005, 7.9357197236936], [8.4410733310505, 7.8752949190061], [8.424593838863, 7.8203632783811], [8.3531827060505, 7.8752949190061], [8.1334561435505, 7.9521992158811], [7.996127041988, 7.9961445283811], [7.897250088863, 8.0181171846311], [7.7599209873005, 8.0400898408811], [7.7159756748005, 8.0565693330686], [7.6500577060505, 8.0565693330686], [7.644564541988, 7.9521992158811], [7.6830166904255, 7.8972675752561], [7.721468838863, 7.8313496065061], [7.7379483310505, 7.7599384736936], [7.7379483310505, 7.7104999971311], [7.754427823238, 7.6226093721311], [7.765414151363, 7.5731708955686], [7.7709073154255, 7.4797871065061], [7.8258389560505, 7.4303486299436], [7.842318448238, 7.4138691377561], [7.831332120113, 7.3424580049436], [7.7928799716755, 7.2435810518186], [7.776400479488, 7.2051289033811], [7.688509854488, 7.1886494111936], [7.6390713779255, 7.1721699190061], [7.600619229488, 7.1172382783811], [7.5951260654255, 7.0348408174436], [7.600619229488, 6.9854023408811], [7.6500577060505, 6.9469501924436], [7.699496182613, 6.9139912080686], [7.7928799716755, 6.9139912080686], [7.864291104488, 6.8810322236936], [7.886263760738, 6.8261005830686], [7.897250088863, 6.7656757783811], [7.8697842685505, 6.7272236299436], [7.853304776363, 6.6503193330686], [7.886263760738, 6.5953876924436], [7.9137295810505, 6.5734150361936], [7.952181729488, 6.5569355440061], [7.996127041988, 6.5569355440061], [8.0126065341755, 6.6063740205686], [8.018099698238, 6.7107441377561], [8.1004971591755, 6.7107441377561], [8.1664151279255, 6.7217304658811], [8.2103604404255, 6.7931415986936], [8.2652920810505, 6.7986347627561], [8.303744229488, 6.7601826143186], [8.3202237216755, 6.7107441377561], [8.369662198238, 6.6887714815061], [8.4081143466755, 6.6942646455686], [8.446566495113, 6.7437031221311], [8.490511807613, 6.7437031221311], [8.589388760738, 6.7876484346311], [8.688265713863, 6.8535664033811], [8.644320401363, 6.8920185518186], [8.7926358310505, 6.9469501924436], [8.886019620113, 6.9139912080686], [8.9574307529255, 6.8755390596311], [9.0123623935505, 6.8261005830686], [9.028841885738, 6.6997578096311], [9.0672940341755, 6.6667988252561], [9.0782803623005, 6.6008808565061], [9.1002530185505, 6.5898945283811], [9.138705166988, 6.6173603486936], [9.182650479488, 6.6887714815061], [9.248568448238, 6.6887714815061], [9.314486416988, 6.7437031221311], [9.358431729488, 6.6942646455686], [9.3968838779255, 6.6228535127561], [9.4298428623005, 6.5844013643186], [9.4847745029255, 6.5569355440061], [9.5177334873005, 6.5074970674436], [9.5067471591755, 6.4305927705686]]]]}"
http://www.statoids.com/ung.html,Pending,1991-08-27,NewInfo,Nigeria,Benue,,,,NG.BE,,,,Nigeria,Benue,,,NI26,NG.BE,,,,,,
http://www.statoids.com/uci.html,Pending,2000-04-20,PartTransfer,Ivory Coast,Haut-Sassandra,,,,,,,,Ivory Coast,Fromager,,,,,,,,http://mapwarper.net/maps/wms/19538?request=GetCapabilities&service=WMS&version=1.1.1,"Dated to 2009, but seemingly depicts the 16 regions created in 1997. Created by Ezilon.com. http://www.ezilon.com/maps/africa/ivory-coast-maps.html","{""type"": ""MultiPolygon"", ""coordinates"": [[[[-5.7651398117015, 6.0967136178804], [-5.7784851636098, 6.1654624067886], [-5.8120507672721, 6.3412563134624], [-5.7865901287006, 6.4727720622612], [-6.0829766555981, 6.5037806615872], [-6.2546633039893, 6.513456856337], [-6.4181607413048, 6.4524930114566], [-6.6224694215635, 6.2842603358148], [-6.6095284755284, 6.0399999427317], [-6.4204860907922, 5.673339623463], [-6.1891666437442, 5.4873136761306], [-5.9183333544935, 5.5422282176731], [-5.6951019830013, 5.7784007447479], [-5.6821609950567, 5.9417802984534], [-5.7651398117015, 6.0967136178804]]]]}"
http://www.statoids.com/ung.html,Pending,1991-08-27,NewInfo,Nigeria,Kwara,,,,NG.KW,,,,Nigeria,Kwara,,,NI30,NG.KW,,,,,,
http://www.statoids.com/ung.html,Pending,1987-09-23,Breakaway,Nigeria,Kaduna,,,NI14,NG.KD,,,,Nigeria,Katsina,,,NI24,NG.KT,,,,,,
http://www.statoids.com/ung.html,Pending,1987-09-23,NewInfo,Nigeria,Kaduna,,,NI14,NG.KD,,,,Nigeria,Kaduna,,,NI23,NG.KD,,,,,,
http://www.statoids.com/uet.html,NonActive,1998-01-01,NewInfo,Ethiopia,Dirē Dawa,,,ET22,ET.DD,State,,,Ethiopia,Dirē Dawa,,,ET48,ET.DD,Other...,,,,,
http://www.statoids.com/ucm.html,Pending,1983-08-22,Breakaway,Cameroon,Centre-Sud,,,CM03,,,,,Cameroon,Centre,,,CM11,CM.CE,,,,,,
http://www.statoids.com/ucm.html,Pending,1983-08-22,Breakaway,Cameroon,Nord,,,CM06,,,Garoua,,Cameroon,Adamaoua,,,CM10,CM.AD,,,,,,
http://www.statoids.com/ucm.html,Pending,1983-08-22,Breakaway,Cameroon,Nord,,,CM06,,,Garoua,,Cameroon,Extrême-Nord,,,CM12,CM.EN,,,,,,
http://www.statoids.com/ucm.html,Pending,1983-08-22,NewInfo,Cameroon,Nord,,,CM06,,,Garoua,,Cameroon,Nord,,,CM13,CM.NO,,Garoua,,,,
http://www.statoids.com/ucm.html,NonActive,1983-08-22,Breakaway,Cameroon,Centre-Sud,,,CM03,,,,,Cameroon,Sud,,,CM14,CM.SU,,,,,,
http://www.statoids.com/ucm.html,Pending,1983-08-22,Breakaway,Cameroon,Centre-Sud,,,CM03,,,,Yaoundé,Cameroon,Sud,,,CM14,CM.SU,,,Ebolowa,,,
http://www.statoids.com/ucm.html,NonActive,1972-06-02,Breakaway,Cameroon,West Cameroon,,,CM02,,,Buea,,Cameroon,Sud-Ouest,,,CM09,,,,,,,
http://www.statoids.com/uci.html,Pending,1997-01-15,Breakaway,Ivory Coast,Nord-Ouest,,07,,,,Odienné,,Ivory Coast,Denguelé,,,,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Littoral,,,CM05,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Federated Republic of Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Ouest,,,CM08,,,,,,,
"Historical Dictionary of Guilea by Camara and Janice, page 256. In mid 1990s, 30 prefectures replaced by 7 regions.",Pending,1995-01-01,NewInfo,Guinea,Conakry,,,,,Prefecture,,,Guinea,Conakry,,,,,Region,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Est,,,CM04,,,,,,,
http://www.statoids.com/ugn.html,NonActive,1985-01-01,Breakaway,Guinea,Dubréka,,,,,,,,Guinea,Coyah,,,,,,,,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Centre-Sud,,,CM03,,,,,,,
http://www.statoids.com/uer.html,NonActive,1999-01-01,NewInfo,Eritrea,Gash Barka,,,ER04,ER.GB,,,Agordat,Eritrea,Gash Barka,,,ER04,ER.GB,,,Barentu,,,
http://www.statoids.com/ucm.html | http://www.ambazonia.org/index.php?option=com_content&view=article&id=244,NonActive,1972-06-02,Breakaway,Cameroon,East Cameroon,,,CM01,,,Yaoundé,,Cameroon,Nord,,,CM06,,,,,,,
http://www.statoids.com/ucm.html,Pending,1949-01-01,Breakaway,Southern Cameroons,Southern Cameroons,,,,,,,,Southern Cameroons,Southern,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1949-01-01,Breakaway,Southern Cameroons,Southern Cameroons,,,,,,,,Cameroon,Bamenda,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1949-01-01,Breakaway,Southern Cameroons,Southern Cameroons,,,,,,,,Southern Cameroon,Bamenda,,,,,,,,,,
http://www.statoids.com/ucm.html,Pending,1949-01-01,Breakaway,Southern Cameroons,Southern Cameroons,,,,,,,,Southern Cameroons,Bamenda,,,,,,,,,,
http://www.statoids.com/ucm.html,Pending,1951-01-01,Breakaway,Cameroon,Lom et Kadei,,,,,,,,Cameroon,Boumba-Ngoko,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1951-01-01,Breakaway,Cameroon,Nord-Cameroun,,,,,,,,Cameroon,Diamare,,,,,,,,,,
http://www.statoids.com/ucm.html,Pending,1951-01-01,NewInfo,Cameroon,Nyong et Sanaga,,,,,,,,Cameroon,Nyong-et-Sanaga,,,,,,,,,,
http://www.statoids.com/ucm.html,Pending,1951-01-01,Breakaway,Cameroon,Moungo,,,,,,,,Cameroon,N'kam,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1951-01-01,Breakaway,Cameroon,Nord-Cameroun,,,,,,,,Cameroon,Margui Wandala,,,,,,,,,,
http://www.statoids.com/ucm.html,Pending,1951-01-01,Breakaway,Cameroon,Nord-Cameroun,,,,,,,,Cameroon,Logone-et-Chari,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1951-01-01,NewInfo,Cameroon,Adamaoua,,,,,,,,Cameroon,Adamawa,,,,,,,,,,
http://www.statoids.com/ucm.html,Pending,1951-01-01,Breakaway,Cameroon,N'tem,,,,,,,,Cameroon,Dja-et-Lobo,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1963-01-01,Breakaway,Cameroon,Bamiléké,,,,,,,,Cameroon,Bamboutus,,,,,,,,,,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Adamawa,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Insert later...,Insert later...,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Bamileké,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Bamoun,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Benoué,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Haut-Nyong,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Kribi,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Lom-et-Kadei,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Boumba-Ngoko,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,M'bam,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
http://www.statoids.com/ucm.html,NonActive,1961-10-01,FullTransfer,Cameroon,Moungo,,,,,,,,Cameroon,East Cameroon,,,,,,,,http://mapwarper.net/maps/wms/Later,Later,
